Id,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,MIDDLE,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,FIPS,ZIP,LAT,LON,HEALTHCARE_EXPENSES,HEALTHCARE_COVERAGE,INCOME
a02a3f43-b6f4-d209-4062-af0cec3b22c1,2015-08-02,,999-99-5386,,,,Jacobo456,Patricio639,Malave728,,,,white,hispanic,M,Gaudalajara  Jalisco  MX,530 Zboncak Landing Suite 63,Montebello,California,Los Angeles County,6037,90022,34.012467415112646,-118.14746462284438,33339.29,4690.13,65295
d92132ce-06ac-3ab4-217f-97257a290b22,2011-09-25,,999-65-7810,,,,Dannette613,Darcie474,Bauch723,,,,white,nonhispanic,F,Berkeley  California  US,593 Doyle Ranch,Lemon Hill,California,Sacramento County,,00000,38.55092979196755,-121.40955183225064,2798.49,141417.37,31770
54f1059e-6250-3949-6dd0-1dda9b85d22a,2003-02-13,,999-28-3364,S99936929,X15345756X,Ms.,Fredricka415,Matha641,Crist667,,,,white,nonhispanic,F,San Jose  California  US,931 Bartell Ville Apt 84,Irvine,California,Orange County,6059,92676,33.74517092481692,-117.74997027981273,56198.94,133887.30,330702
82340b68-7f78-8d50-15ba-0396be76a381,1999-12-09,,999-82-6124,S99971267,X6326327X,Mr.,Zackary401,,Lehner980,,,,white,nonhispanic,M,Encinitas  California  US,427 Lemke Hollow,Bakersfield,California,Kern County,6029,93306,35.13865465995054,-118.8231036219739,4966.22,122735.37,11774
a0b63e97-b6fd-5fe1-8f2d-2bec915efa97,1994-02-27,,999-53-6488,S99963995,X65578833X,Mr.,Luther918,Monroe732,MacGyver246,,,M,white,nonhispanic,M,Richmond  California  US,250 Morar Fork Apt 66,Los Angeles,California,Los Angeles County,6037,90066,33.803958143636194,-118.16499538672404,21978.57,63792.00,41800
abc59f62-dc5a-5095-1141-80b4ee8be73b,1996-06-14,,999-37-1058,S99918022,X63553287X,Mrs.,Jacque955,Jin479,Dickens475,,Will178,M,white,nonhispanic,F,Santa Cruz  California  US,492 Keebler Estate,Fairfield,California,Solano County,6095,94585,38.18324005715623,-121.9588555053258,209834.24,152013.66,41915
28d7b56c-6056-d0a2-2991-39d6e917216c,1999-12-05,,999-31-6091,S99930609,X32352139X,Ms.,Angela104,Bella510,Funk324,,,,white,hispanic,F,Orange  California  US,677 Bosco Extension,Isla Vista,California,Santa Barbara County,6083,93117,34.498327715195025,-120.05797683062254,8435.24,302054.19,10451
92675303-ca5b-136a-169b-e764c5753f06,1998-05-09,,999-62-9859,S99963661,X20663148X,Mr.,Lorenzo669,Julio255,Urrutia540,,,,white,hispanic,M,Carolina  Puerto Rico  PR,386 Altenwerth Orchard Apt 67,Glendale,California,Los Angeles County,6037,91210,34.21521949034581,-118.20846654003923,120092.66,1557.03,88407
239ae86a-96db-6211-9042-d3f2850aabb8,1970-06-18,,999-74-7366,S99962894,X13153521X,Mr.,Darrell400,Harry448,Muller251,,,D,white,hispanic,M,Dublin  California  US,541 Stracke Plaza,San Jose,California,Santa Clara County,6085,95140,37.30226576037261,-121.96683622886896,10675.97,194000.08,3928
59844213-b884-17cb-59e9-c07a73a06f41,1976-11-04,,999-75-8169,S99979659,X1180695X,Mr.,Frederick289,Galen747,Breitenberg711,,,M,asian,nonhispanic,M,Oroville  California  US,227 Stiedemann Union Suite 28,Brea,California,Orange County,6059,92870,33.9393011179221,-117.76723948180056,6344.06,247951.70,20100
